Respondant,Region,Store,Liked,Donﾒt like,Would Like,NPS Score
354,Wairarapa,MASTERTON,prompt attention,gruff customer service manner,a little more customer friendly,7
355,Bay of Plenty,MOUNT MAUNGANUI - HULL ROAD,Everything went as smoothly and efficiently as per norm,,,7
356,Auckland,AUCKLAND - NEWMARKET,Very good service. Quick to keep me informed of what was happening,,,7
357,Christchurch,CHRISTCHURCH - SYDENHAM,Having to replace all four tyres is a bit hard on the pocket but they made it as painless as possible and suggested a wheel alignment check was imperative to avoid a repeat of the problem,,,7
358,Bay of Plenty,WHAKATANE,Very friendly and efficient.,No complaints,,7
359,Auckland,AUCKLAND - HENDERSON,quick and efficient,,,7
360,Wellington,WELLINGTON - THORNDON QUAY, They were very helpful and talked about the alternative tyres I could buy for my car. They gave me a lot of information.,,,7
361,Waikato,TE AWAMUTU,the coffee  and the staff,being quoted $210 and being charged  $235.  having to wait over half an hour to replace a tyre ,serve the customer dont stand around chatting.,7
362,Christchurch,CHRISTCHURCH - NORTHWOOD,Helpful Staff,Paying,a coffee machine,7
363,Wellington,WELLINGTON - PARAPARAUMU,Great service - found i needed a new battery and sorted out at the same time as the wheel alignment.,,,7
364,Auckland,AUCKLAND - GLENFIELD (Archers Rd),they gave me a good deal on what i needed,that there was an issue with the tyres and i had to have it redone - was a faulty tyre and they were really good about fixing it,,7
365,Auckland,AUCKLAND - GREENLANE (Gt South Rd),Good friendly service. Staff obliging and nwilling to help.,,,7
366,Auckland,AUCKLAND - HOWICK,Friendly crew and gets the job done soon as possible,Cost a little bit higher than other tyre/ repair shops,,7
367,Auckland,AUCKLAND - KINGSLAND,Quick to quote and offer discount and fix the tyres,All good,Keep more product choices if possible,7
368,Wellington,WELLINGTON - PORIRUA - PARUMOANA ST,timing on eta to pick up was accurate. all staff friendly,,,7
369,Waikato,HAMILTON - TE RAPA,Professional service. Polite front desk man.,,An email with specials specific to my car.,7
370,Manawatu,PALMERSTON NTH - 559 TREMAINE AVE,Great Service -really helpful and quick,,,7
371,Mid & South Canterbury,ASHBURTON,I had service straight away.,only one tyre was sprayed with tyre shine,,7
372,Nelson & Marlborough,NELSON,Great job.,,,7
373,Auckland,AUCKLAND - TAKANINI,His professional know how and advice.  To not have to book an appointment - just walk straight on in.,,,7
374,Manawatu,PALMERSTON NTH - 559 TREMAINE AVE, Convenient  location and  of course receiving flybuys ,Waiting to be acknowledged when entering office to pay I had to ask if they wanted to be paid. ,To feel they value peoples custom with a friendly greeting especially when you spend alot of money  with them.  I had shopped around on prices & all competitors prices were very similar the only plus was flybuys.,7
375,Mid & South Canterbury,TIMARU - BARNARD ST,quick helpful friendly service,,,7
376,Auckland,AUCKLAND - EAST TAMAKI,service was OK.,,,7
377,Auckland,AUCKLAND - GREENLANE (Gt South Rd),Fast and friendly service,,,7
378,Mid & South Canterbury,ASHBURTON,It was very quick - the car had the new tyre fitted before I'd finished browsing nearby shops.  And then it was right by VTNZ so easy to get the WOF signed off,,,7
379,Northland ,WHANGAREI - 73 REYBURN ST,Didn't have to wait for service. Centre was clean and tidy.,Price seemed higher than the last time I purchased a similar tyre.,,7
380,Bay of Plenty,ROTORUA - AMOHAU ST,Rapid friendly service,There were no problems,,7
381,Otago,DUNEDIN - ANDERSONS BAY RD,The staff were helpful,No problems,,7
382,Auckland,AUCKLAND - GLENFIELD (Archers Rd),The friendliness of the staff and the immediate welcome and clean workshop,The no phone call telling me my vehicle was ready as was stated. I didi not remain on site.,,7
383,Wellington,WELLINGTON - THORNDON QUAY,Really friendly guy who served me when  I picked up the car.  ,Not much,,7
384,Tararua,DANNEVIRKE,helpfull friendly service with great knowledge...,,,7
385,Waikato,HAMILTON - TE RAPA (Pukete Road),The speed that the tyres were changed,I wasn't informed that the road warranty on the tyres was optional,,7
386,Wellington,LOWER HUTT - VICTORIA ST,Very quick on the spot job. Excellent job done.,,,7
387,Auckland,AUCKLAND - NEWMARKET,Quick and convenient,Manager did not call and tell me i needed a new tyre instead of a puncture repair. Went in and found out so had to make 3 trips there.,,7
388,King Country,TAUMARUNUI,I turned up without an appointment and they fitted me in straight away,nothing,,7
389,Gisborne,GISBORNE- DISRAELI ST,The service,,,7
390,Northland ,KERIKERI,Very friendly staff and excellent service an advice too.,,,7
391,Christchurch,RANGIORA,When I phoned I got friendly and helpful advice. I was offered a ride back to my workplace for when I dropped the vehicle off. The vehicle was ready on time. It was even parked in a manner that meant no backing or negoitiation of other vehicles was required.,I don't know how much the service cost. The charge was made to our CRT account but I didn't receive the docket. ( Was in a rush so may be an oversight on my part),,7
392,Auckland,AUCKLAND - MANUKAU CITY,Quick service and hot chocolate.,,,7
393,Waikato,HAMILTON - TE RAPA (Pukete Road),Promt efficent service,,,7
394,Nelson & Marlborough,NELSON,left car for morning and alignment done when I returned,,,7
395,Bay of Plenty,MOUNT MAUNGANUI - NEWTON ST,Efficient,,,7
396,Manawatu,PALMERSTON NTH - 559 TREMAINE AVE,service was good,the gentleman didnt really seem to know how to put through a supermarket docket for flybuys but gave me flybuys anyway so that was good and nearly as much as coupon anyway,,7
397,Auckland,AUCKLAND - GREENLANE (Gt South Rd),Good Service.. friendly staff,Coffee.. ,get a good coffee machine,7
398,Auckland,AUCKLAND - GLEN INNES (Apirana Ave),Service was good. Staff helpful and ordered in a tyre for me for same day service,Nil,Nicer waiting room - check out VTNZ across the rd!,7
399,Auckland,WARKWORTH,Good price and service,,,7
400,Nelson & Marlborough,NELSON,Prompt and friendly service.  All very positive.,nothing.,Just keep up the quality service!  Not sure how Beaurepaires compares to other tyre companies cost-wise.  Any improvement would be in keeping costs down to customer.  If I was to make a recommendation it would be on cost and service.,7
401,Otago,QUEENSTOWN,The service was quik and proffesional,,,7
402,Otago,DUNEDIN - CUMBERLAND ST,Quick. Great Service.,Price.,Recommend any cheaper options if available.,7
403,Auckland,WARKWORTH,Fast service,Very pricey for just a puncture repair,,7
404,Christchurch,CHRISTCHURCH - TUAM ST,Friendly service,Cost :-(,Maybe some pricing options or a least a warning that this size and brand of tyre was going to be very expensive!!,7
405,Wellington,WELLINGTON - THORNDON QUAY,Made a good effort to get my tyres changed and puncture fixed in good time as stated.,Got told to leave the garage space and go to the Customer area.,,7
406,Auckland,AUCKLAND - ALBANY (Saturn Pce),it was quick,nothing,none at all,7
407,Hawke's Bay,WAIPUKURAU,Very pleasant to deal with,Didnt have what we wanted in stock. But went to Waipawa to get us one,,7
408,Bay of Plenty,TAURANGA - CBD,Efficient and friendly - stuck to time frame,NA,,7
409,Auckland,AUCKLAND - PUKEKOHE Manukau Rd,Prompt service,,,7
410,Wellington,WELLINGTON - PARAPARAUMU,Very good service,,,7
411,Southland,INVERCARGILL - ESK ST,I was awarded the 20 fly buys points by presenting my supermarket docket. The staff were friendly.  Fitting and balancing were included in the price of the tyre.,I went for a puncture repair - ended up needing a new tyre and I will have to purchase another 3 tyres within a month.,I purchased the origonal set of tyres from your company and would like you to offer FREE puncture repairs for the life of the tyre on products purchased from your stores.,7
412,Christchurch,CHRISTCHURCH - NORTHWOOD,good service and helpful staff,,it would have been good if they could have done the job on the spot instead of me having to pop back,7
413,Wellington,WELLINGTON - PORIRUA - PARUMOANA ST,Helpfulness and friendly ,Ordered tyres but didn't have them available on day- slightly disappointed ,,7
414,Christchurch,CHRISTCHURCH - Blenheim Road,good service,nothering,not a thing,7
415,Christchurch,CHRISTCHURCH - Blenheim Road,Clearly stated how long it would take and promised to call which they did,Only one person on reception who was busy answering calls so took a while for him to be free to deal with me ,Additional person on reception at start of day when would expect most people to call/ drop in,7
416,Waikato,MORRINSVILLE,Quick and freindly service ,No deals when using my Q card.,Deals when i use my Q Card ,7
417,Auckland,AUCKLAND - GREENLANE (Gt South Rd),The friendly service ,The waiting time even though I had booked. ,Where possible to keep to appointment times. ,7
418,Nelson & Marlborough,NELSON,The tyres were blackened,,,8
419,Auckland,AUCKLAND - NEW LYNN (Gt North Rd),Very courteous and professional,All good,Nil,8
420,Christchurch,CHRISTCHURCH - NORTHWOOD,Great service. Dropped off my car and went shopping. All done when I returned and tyres were painted so it looked good.,Nothing,,8
421,Northland ,KERIKERI,Very helpful young man who told me what he found and who was quick and effiecient in repiaring my puncture,,,8
422,Wellington,WELLINGTON - KENT TERRACE,Very friendly service,Not enough explanation on the tyre options and why the one I got was recommended by them. ,More explanation on the tyre options and costs,8
423,Auckland,AUCKLAND - KINGSLAND,Clean Launge. nice staffs.,price are not displayed,set more products display window with price in show room,8
424,Southland,GORE,Quick professional service.  Always accommodative.,,,8
425,Bay of Plenty,WHAKATANE,Good service,,,8
426,Christchurch,CHRISTCHURCH - SYDENHAM,quick service car was ready and waiting when i picked it up.,my key took a while to find ,leave key's with a job card,8
427,Christchurch,RANGIORA,Very friendly and helpful staff and quick service,,,8
428,Manawatu,PALMERSTON NTH - 559 TREMAINE AVE,very friendly good service,nil,,8
429,Wellington,WELLINGTON - PORIRUA - PARUMOANA ST,Friendly service,,,8
430,Christchurch,CHRISTCHURCH - HORNBY,Good service and quick. Pleasant people.,,,8
431,Otago,QUEENSTOWN,friendly staff,N/A,,8
432,Auckland,AUCKLAND - KINGSLAND,Great service - the guys I dealt with were super helpful. Thanks :),,,8
433,Auckland,AUCKLAND - GLENFIELD (Archers Rd),Service was great,,,8
434,Auckland,AUCKLAND - NEW LYNN (Gt North Rd),The friendly staff.  Speedy service,Nothing,,8
435,Taranaki & Wanganui ,WANGANUI,The service and Price was excellent. I was able to walk in off the street and have the job done the same day. I am very satisfied with the performance of the tires. I would recommend this business to others.,I have no complaints.,,8
436,Otago,ALEXANDRA,Prompt and efficient service.,,,8
437,Christchurch,CHRISTCHURCH - TUAM ST,The price of the goods that I purchased was very reasonably priced,,,8
438,Auckland,AUCKLAND - HOWICK,Good customer Service,n/a,coffee machine while customers wait,8
439,Christchurch,CHRISTCHURCH - NORTHWOOD,Good service. They dropped me at work which was fantastic.,nothing,all good,8
440,Bay of Plenty,TAURANGA - Cameron Road,Easy to book . Daughter entertained by tv n hot chocholate whilst we waited . ,,,8
441,Northland ,WHANGAREI - WATER ST,Service was great and they thought about us by ringing us about the state of our tyres,Nothing,Was very happy with the service we received,8
442,Auckland,AUCKLAND - KINGSLAND,They are always friendly and have a chat. Liked the fact that they were honest that the tyre may not be able to be repaired,It was booked the day I first arrived! However at the next time I booked they were prompt. They took a bit long due to another phone call but apologised for this.,Waiting room was cold,8
443,Gisborne,GISBORNE - CHILDERS RD,Very good prompt service,,,8
444,Hawke's Bay,WAIPUKURAU,Good friendly service,,,8
445,Auckland,AUCKLAND - NEWMARKET,Freindly helpful staff - reasonable charges,Nothing,Wifi?,8
446,Auckland,AUCKLAND - (Quay Street),Service was quick and efficient. ,Price ,,8
447,Auckland,WARKWORTH,They could fit me in first thing Saturday Morning when I rung late Friday Afternoon,they did seam to take a long time to fit 2 new tyres.  I had asked when booking if it would take long as I had to get to an appointment ,,8
448,Christchurch,RANGIORA,they changed the tyres and put the new ones on the front and was all finished when i came back within the time they said,,,8
449,Auckland,AUCKLAND - SILVERDALE,Great friendly efficent service.,Nothing to note.,I cant think of anything.,8
450,Auckland,AUCKLAND - ALBANY (Cnr Bush Rd and Volkner Pl),Good quick and friendly service.,,,8
451,Auckland,AUCKLAND - NEWMARKET,Quick and efficient service,,,8
452,Wellington,WELLINGTON - KENT TERRACE,Friendly prompt service,nothing,,8
453,Bay of Plenty,ROTORUA - AMOHAU ST,Good service,Price a little expensive for a puncture,cheaper prices for puncture if able to,8
454,Northland ,WHANGAREI - WATER ST,Friendly efficient service and a rapid turnaround time,No issues,Ability to see and book avaiable times on-line,8
455,Otago,DUNEDIN - ANDERSONS BAY RD,Great service fast ,All was well, ,8
456,Otago,DUNEDIN - ANDERSONS BAY RD,The puncture repair took exactly the same time it took me to have one of their complimentary coffees! Quick service and staff very pleasant and helpful.,The coffee!,,8
457,Waikato,HAMILTON - TE RAPA (Pukete Road),A pleasure to deal with and thanks for coffee.,,,8
458,Christchurch,RANGIORA,Were able to help me on the spot and had the new tyre on in the half an hour they promised me.,,,8
459,Northland ,KAIKOHE,I liked the fact that I could use my fly buys card when spending that amount of money,Nothing I did not like,Possibly expanding the fly buys points into more shops,8
460,Auckland,AUCKLAND - WAIUKU,I got great a price and great service:-),,,8
461,Southland,INVERCARGILL - ESK ST,Good prompt service.,,,8
462,Otago,DUNEDIN - CUMBERLAND ST,Both men I dealt with were very friendly and helpful.  Service was efficient,,Nothing obvious,8
463,Wellington,LOWER HUTT - VICTORIA ST,Car ready on time,Extra charge for wheel alignment,Include free wheel alignment for buying four tyres.,8
464,Wellington,WELLINGTON - KENT TERRACE,Quick and easy,,,8
465,Auckland,AUCKLAND - HOWICK,The service was prompt. I was not left waiting to be served.,There were no problems,Discounts for extra work done. eg buy 3 tires and get the 4th one free,8
466,Hawke's Bay,HASTINGS - HERETAUNGA ST,the service was very good - advised were busy and would take about an hour. On return just under an hour puncture was repaired and then tyre was replaced on car and spare put back in boot.,nothing,Being given a time frame and having it beaten is excellent.,8
467,Wellington,LOWER HUTT - RUTHERFORD ST,Getting a discount and a special deal on wheel alignment,Service man didn't seem that happy to fix my car,,8
468,Bay of Plenty,TAURANGA - Cameron Road,Very good service and coffee while you wait.,Nothing,,8
469,Christchurch,CHRISTCHURCH - TUAM ST,Very obliging prompt service.,No complaints on service.,Coffee could improve but not important.,8
470,Auckland,AUCKLAND - NEW LYNN (Gt North Rd),Staff were friendly without being pushy. Answered questions and provided service as requested.,Nothing,,8
471,Auckland,AUCKLAND - GLENFIELD (Archers Rd),Customer lounge area is nice and tidy with good coffee.  The boys were very nice and explained what was going on. Very good service.,,,8
472,Christchurch,RANGIORA,everything,nothing,nothing,8
473,Bay of Plenty,WHAKATANE,Tyres in stock. Did not have to make an appointment.,Took in a State Update from State Insurance to collect my 25 fly buys bonus points. Guy didn't know what to do and seemed unfamiliar with the offer. Said its done automatically from head office and to wait until I get my next fly buys update to see if its on there. The promotion would of expired by then.,,8
474,Nelson & Marlborough,RICHMOND,Helpful and friendly service. Good and clear explanations. ,Had voucher for half price wheel aleignment but could not use as i didn't have a smart phone. ,Same service for all.,8
475,Taranaki & Wanganui ,WANGANUI,Quick service and very helpful,,,8
476,Christchurch,CHRISTCHURCH - NORTHWOOD,Fast service no waiting ,Did not take my name when I first ordered the tyres.,As above this made it hard when confirming on the phone.,8
477,Auckland,AUCKLAND - MT ROSKILL (Cnr Richardson and McGowan Sts),That it was a reasonable price and the people were strait up and true with the issue and did not try squeeze dimes from my wallet.,There was just a bit of a wait but all was well other then this.,A TV in the waiting room. ,8
478,Auckland,AUCKLAND - HOWICK,Very pleasant young man. Also very prompt and efficient.,,,8
479,Taranaki & Wanganui ,NEW PLYMOUTH - Gill St,Efficent and friendly service. ,Noting really.,Provide other vehicles servies such as repairs and WOF.,8
480,Wairarapa,MASTERTON,Great service.  Quick.,Nothing,,8
481,Waikato,HAMILTON - CITY,Service is great and fast,Timeline as I originally wanted to do on Saturday,Open on Saturday until 5pm,8
482,Wellington,WELLINGTON - PORIRUA - PARUMOANA ST,Nice friendly service,,,8
483,Wellington,LOWER HUTT - RUTHERFORD ST,Friendly & attentive staff.,,Need more workers during busy Saturdays.,8
484,Mid & South Canterbury,TIMARU - BARNARD ST,Competitive Prices,n/a,,8
485,Waikato,HAMILTON - CITY,I like how fast and professional the services was. ,,It would be great if they ask me whether I want to keep my old good tyres but I forgot to ask. It's okay!,8
486,Manawatu,LEVIN,Firendly and gave options for different purchases based on a budget.,Nothing,Nothing,8
487,Auckland,AUCKLAND - KINGSLAND,I have been customer for beaurepairs quite long time n this is the second time I bought tiles  from you. I am very happy with the tiles cause it takes quite long time for me to drive the car.,no,,8
488,Auckland,WARKWORTH,After having serviced  my car  advised me about  and checked future items that may need attention. just to jolt my mind. ,,,8
489,Otago,DUNEDIN - CUMBERLAND ST,Friendly helpful staff.,,,8
490,Auckland,AUCKLAND - KINGSLAND,Helpful and efficient,-,,8
491,Taranaki & Wanganui ,WANGANUI,Fast and efficient,,,8
492,Waikato,HAMILTON - CITY,Friendly accommodating service.  Fast fitting.  Car feels like a new vehicle on the road.,,,8
493,Waikato,HAMILTON - CITY,Eric was very helpful,,,8
494,Auckland,AUCKLAND - (Quay Street),Great service ,,,8
495,Wairarapa,MASTERTON,Very good. Suggested that with the tyre wear that an alignment check would be worthwhile. Service was done promptly and efficiently,Nothing,,8
496,Auckland,AUCKLAND - TAKAPUNA (Barrys Point Rd),Pleasant helpful experience. very satisfied,,,8
497,Wellington,WELLINGTON - NEWTOWN,Fast service - able to service my car the same day I contacted them.,Nothing I didn't like.,,8
498,Northland ,KAIKOHE,Service and customer assistance is great. Despite having no wheel alignment service they did suggest a competitor,The wheel alignment service is still not repaired and was told would not be repaired for some time,wheel alignment service,8
499,Wellington,LOWER HUTT - RUTHERFORD ST,Great service,,,8
500,Otago,DUNEDIN - ANDERSONS BAY RD,quick friendly service,not many options in stock for my size tyre ie only one was available that day so did not have the option to buy a pair,,8
501,Nelson & Marlborough,NELSON,Very helpful. nice coffee.,the cost of the tyre,not really,8
502,Wellington,WELLINGTON - THORNDON QUAY,Nice friendly staff that understood my needs.,,,8
503,Wellington,WELLINGTON - PORIRUA - PARUMOANA ST,Really friendly and professional service. Tyre was changed on time.,,Really sterile waiting room. Needs more colour and warmth.,8
504,Hawke's Bay,HASTINGS - HERETAUNGA ST,easy to book via the net and info on prices etc emailed quickly,all goo - nothing I'd change,the thing that eventually made me choose beaurepairs was an article in consumer mag - perhaps could be used more in advertising?,8
505,Southland,INVERCARGILL - MERSEY ST,Very efficient and got a ride back to work,Nil,buzzer on the door to anounce people coming into office,8
506,Auckland,AUCKLAND - NEW LYNN (Gt North Rd),Good efficient service. Ordered tyres in for me same day. ,,,8
507,Christchurch,CHRISTCHURCH - HORNBY,The staff were helpful and gave good advice.  ,,,8
508,Northland ,WHANGAREI - WATER ST,Timely work and good suggestion.,NA,Keep it up.,8
509,Auckland,AUCKLAND - WAIUKU,Nothing was a problem. Easy to deal with.,Nothing to report here...,,8
510,King Country,TAUMARUNUI,It was good price for goods.,,,8
511,Nelson & Marlborough,RICHMOND,The great deal I got.,The quote I got from the email was not very competitive.,,8
512,Mid & South Canterbury,ASHBURTON,Good service but unfortunately I didn't mention flybuys so I missed out.  Bad luck.,I should have been asked for my flybuys card.,Always ask if  they have flybuys.,8
513,Bay of Plenty,TAURANGA - Cameron Road,I went straight off the street and they had time to do a wheel aliagnment straight away,,,8
514,Wellington,WELLINGTON - PARAPARAUMU,was pleased with the service,the long wait time.,a nicer waiting area,8
515,Auckland,WARKWORTH,Prompt service and they dropped  me home and picked me up.,,,8
516,Wellington,WELLINGTON - THORNDON QUAY,Service - Quick and Friendly,Price charged differed (slightly) from price quoted over phone. The phone quote was not recognized and price had to be manually 'tweeked'.,,8
517,Northland ,KERIKERI,They had what I wanted. Service was great,,,8
518,Wellington,WELLINGTON - PORIRUA - PARUMOANA ST,Nice friendly and helpful staff,,,8
519,Auckland,AUCKLAND - (Quay Street),Friendly and prompt help without delay. ,The price! New vehicle with 1200 Km's. Tyre puncture repair charge on new SUV included re- balance so total about $36 dollars. Was the rebalance necessary? Not a complaint but the charge was a lot more than I expected but grateful for the efficient and prompt service!! ,Hard to improve on the experience!,8
520,Auckland,AUCKLAND - MT ROSKILL (Cnr Richardson and McGowan Sts),tire was repaired quickly,,,8
521,Otago,QUEENSTOWN,The coffee machine!!!,,,8
522,Auckland,AUCKLAND - (Quay Street),The customer facilities,there was no lock on the toilet,put lock on toilet,8
523,Bay of Plenty,TAURANGA - CBD,Good service,,,8
524,Otago,DUNEDIN - ANDERSONS BAY RD,Staff member was excellent,Nothing.,Better coffee machine,8
525,Wellington,WELLINGTON - THORNDON QUAY,The efficiency. ,The fact that the balancing wasn't included in the cost when I got my quote.,Make sure people know exactly what the quote covers.,8
526,Otago,DUNEDIN - ANDERSONS BAY RD,The people were very helpful,Can't think of anything,,8
527,Christchurch,CHRISTCHURCH - TUAM ST,Service,N.a.,,8
528,Manawatu,PALMERSTON NTH - 559 TREMAINE AVE,Friendly service and sunny show room.,Driving on the old vaule assemblies  that are left on the forecourt.,clean the forecourt of the old vaule assemblies.,8
529,Christchurch,CHRISTCHURCH - TUAM ST,Fast and polite service.,,,8
530,Christchurch,CHRISTCHURCH - SYDENHAM,service was helpful and efficient. Don't know if it was the best price as I did not obtain a competitors price.,,,8
531,Otago,DUNEDIN - CUMBERLAND ST,Quick turn around and told me about the online deals,,,8
532,Auckland,AUCKLAND - EAST TAMAKI,I was dealt with quickly and efficiently and given advice about the tyres.  I have a very old car and therefore had to buy two tyres instead of just replacing one.  (Type of tyre not made any more!)  The tyres were all changed round - old put to the front and new at the back.  ,,Perhaps a little more guidance forthcoming as to changing the tyres around - I had to ask if it was sensible to put the new ones at the back or the front.  (I'm 77yrs old and not au fait with where it is more practicable and safer to put the new tyres as I couldn't afford to buy 4 new ones at once). ,8
533,Otago,DUNEDIN - CUMBERLAND ST,Quick turn around and told me about the online deal going ,,,8
534,Christchurch,CHRISTCHURCH - SYDENHAM,Great service. Paul explained the repairs required and carried them out promptly and at a good price.,,,8
535,Waikato,TE AWAMUTU,Good quick service,,,8
536,Waikato,HAMILTON - TE RAPA,Prompt efficient friendly service,Can't think of anything,,8
537,Auckland,AUCKLAND - GLEN INNES (Apirana Ave),Very efficient and well organised.  Offered options on different tyres to suit budget which was nice.,,,8
538,Gisborne,GISBORNE - CHILDERS RD,Service was prompt and on time. Price was competitive.,,Quite content to drop off my vehicle to the depot but would appreciate being delivered to my office and then picked up later to collect my vehicle.,8
539,Auckland,AUCKLAND - GREY LYNN (Gt North Road),quick service,,coffee machine,8
540,Bay of Plenty,TAURANGA - CBD,very quick repair of puncture especially when no appontment had been made and didn`t pre call ,,,8
541,Auckland,AUCKLAND - GREENLANE (Gt South Rd),Very helpful chap who changed tyre and helped with changing tyres over,Nothing Really,,8
542,Auckland,AUCKLAND - GREY LYNN (Gt North Road),Was very easy. The guys were helpful and informative.,,,8
543,Waikato,TE AWAMUTU,good friendly service,nothing,quite happy with the service,8
544,Otago,DUNEDIN - CUMBERLAND ST,Prompt friendly service.  Being able to leave the car with them for the whole day.,,,8
545,Auckland,AUCKLAND - HOWICK,It was my first time with them and they were very helpful.,,,8
546,Northland ,KERIKERI,The prompt service I received in getting my car tyre repaired.,There was nothing that I didn't like.,I was impressed with the changes to the office/waiting area.  It really makes a difference to feel relaxed while waiting.,8
547,Christchurch,RANGIORA,service very good fast and very  frendly,nothing,no,8
548,Waikato,HAMILTON - TE RAPA (Pukete Road),Quick service,N/A,,8
549,Auckland,AUCKLAND - HENDERSON,Fast and efficient service,Bit pricy but not over priced.,Cheaper options,8
550,Auckland,AUCKLAND - TAKANINI,Free coffee and friendly staff,,,8
551,Auckland,AUCKLAND - (Quay Street),friendly service,Open until 5.30pm instead of 5.00pm would be really helpful,It would have been good to have been told what the tyre would cost at the time of dropping off the car,8
552,Christchurch,RANGIORA,Prompt and courteous,,,8
553,Auckland,AUCKLAND - CLENDON,very frindly an will go back anytime,,,8
554,Otago,QUEENSTOWN,Good service good prices,Nothing,,8
555,Waikato,HAMILTON - TE RAPA (Pukete Road),speed and ease of service,All the extra costs not known about. Bumped it up to almost twice the cost of the tyres.,,8
556,Southland,INVERCARGILL - ESK ST,The quick service and good price for the two tyres. Also the fact that i was able to use Q Card to pay for it.,There was nothing I didn't like. Good service.,,8
557,Wellington,WELLINGTON - KENT TERRACE,Bonus fly buys points. No interest on finance. No booking but still fitted the tyres straight away. Friendly staff,,,8
558,Waikato,HAMILTON - TE RAPA (Pukete Road),Had good service the staff where very good and said if I had any problems with it to bring back and straighten it up again as had wheel alinement and balance. ,,,8
559,Wellington,WELLINGTON - PARAPARAUMU,knowledgeable thoughtful advice,I had booked a slot by phone yet had to wait well over an hour - because other work was being done,respect advance bookings,8
560,Wellington,WELLINGTON - KENT TERRACE,Quick service,having to buy new tyre,non,8
561,Bay of Plenty,WHAKATANE,The free hot chocolate and immediate service,Waiting for the man to enter my details into his computer,Nil,8
562,Manawatu,PALMERSTON NTH - 559 TREMAINE AVE,good service,,,8
563,Wellington,LOWER HUTT - RUTHERFORD ST,gave me a few options on tyres,,let people know if u get a wheel alignment how long it will take,8
564,Auckland,AUCKLAND - ALBANY (Cnr Bush Rd and Volkner Pl),Good Service and advise.,N/A,Do what you are doing.,8
565,Northland ,KAIKOHE,The service at the Kaikohe branch is very friendly.,I recieved a voucher to redeem at a Beaurepairs outlet which where I work is in Kaikohe so I would drop my car off at that outlet.  I rang today and was told that the wheel alignment machine is not functioning - so I am unable to redeem my voucher unless I find a way to get my vehicle to Kerikeri.  This is very inconvenient.,The wheel alignment machine to be functional so that I can take advantage of the voucher provided to me for completing the feedback.,8
566,Christchurch,CHRISTCHURCH - TUAM ST,Prompt service. It was after 12pm when I rang up and made the appointment for 2pm.,,,8
567,Christchurch,RANGIORA,The service was good. They managed to get a tyre on the same day as I needed it.,,,8
568,Wellington,WELLINGTON - UPPER HUTT,Convenience and prompt service,The price;,no,8
569,Auckland,AUCKLAND - GLENFIELD (Archers Rd),The fact that when emailing Beaurepaires for a quote we promptly received a reply and were put onto the closest store that was able to commit to the job with product and immediately. It then became a matter of driving and driving out with little delay.,Nothing really,i have used Beaurepaires for a number of years for two reason - the proximity and the helpful service.,8
570,Otago,DUNEDIN - CUMBERLAND ST,Great helpful fast service.,,,8
571,Bay of Plenty,WHAKATANE,on time,nothing,,8
572,Auckland,AUCKLAND - HOWICK,Excellent Service less than Projected time,Good Service,,8
573,Northland ,KAITAIA,You guys had the best price. I missed my first appointment due to work commitments but there was no problem with that.,,,8
574,Nelson & Marlborough,RICHMOND,Fast  efficient and friendly service,Tyre not available in my local branch,,8
575,Wairarapa,MASTERTON,The fact that I arrived 5 minutes before closing and still got served and that it was quick and efficient service.,Nothing ,,8
576,Christchurch,CHRISTCHURCH - NORTHWOOD,Friendly,Long wait,,8
577,Otago,DUNEDIN - CUMBERLAND ST,Good service I rang up last minute and got taken straight away,The price of the tyres,Cheaper tyres,8
578,Otago,DUNEDIN - ANDERSONS BAY RD,The staff were knowledgable and helpful. The staff delivered the car to a nearby agent for its WoF. Good service.,I wasn't able to negotiate a lower price for the tyres.,,8
579,Auckland,AUCKLAND - NEW LYNN (Gt North Rd),On time strategy,,,8
580,Manawatu,PALMERSTON NTH - 559 TREMAINE AVE,Friendly service.  Helpful.,,was all good.  like that I can get fly buys too.,8
581,Otago,DUNEDIN - ANDERSONS BAY RD,Cheaper tyre than i thought. Fair appraisal of situation. Quick service for additional purchase,Pity the tyre wasn't in stock bhut no real inconvenience waiting for it to arrive,,8
582,Bay of Plenty,TAURANGA - Cameron Road,The service was friendly and they had the car available for pick up when they said it would be.,At the time of payment I did say I wanted to decline the warranty option but later found it was charged. However I will stay with the warranty.,Perhaps check that all optional charges are as agreed.,8
583,Manawatu,PALMERSTON NTH - 559 TREMAINE AVE,Very helpful considering it was after 5 pm.,N/A,N/A,8
584,Auckland,AUCKLAND - NEW LYNN (Gt North Rd),Quick and efficient,,,8
585,Auckland,AUCKLAND - NEW LYNN (Gt North Rd),helpful pleasant efficient service,,,8
586,Manawatu,PALMERSTON NTH - 559 TREMAINE AVE,fast efficient service when I needed a replacement tyre. ,knowledge of the emailed discount amount would have been helpful as it had not printed out clearly ,,8
587,Christchurch,CHRISTCHURCH - TUAM ST,Personal service & staff attitude,,,8
588,Waikato,HAMILTON - TE RAPA,very kind and helpful staff,they didn't have second hand tyre which I had to buy new one and paid more,,8
589,Auckland,AUCKLAND - MANUKAU CITY,Fast and efficient service,nothing,nil,8
